;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
33;22/05/2020;362.505.992.494.569;833.261.306.470.434;833.261.306.470.434;833.261.306.470.434;833.261.306.470.434;833.261.306.470.434;833.261.306.470.434;0;0;0;230.065.603.702.145;658.791.686.786.767;362.505.992.494.569;362.505.992.494.569;445.832.123.141.612
34;23/05/2020;366.909.170.191.151;429.198.828.312.797;429.198.828.312.797;429.198.828.312.797;429.198.828.312.797;429.198.828.312.797;429.198.828.312.797;0;0;0;185.691.603.037.665;634.055.332.224.612;366.909.170.191.151;366.909.170.191.151;40.982.905.302.243
35;24/05/2020;371.312.347.887.733;-218.905.916.702.284;-218.905.916.702.284;-218.905.916.702.284;-218.905.916.702.284;-218.905.916.702.284;-218.905.916.702.284;0;0;0;-645.337.230.024.419;368.725.862.520.843;371.312.347.887.733;371.312.347.887.733;152.406.431.185.448
36;25/05/2020;375.715.525.576.414;-2.741.571.061.174;-2.741.571.061.174;-2.741.571.061.174;-2.741.571.061.174;-2.741.571.061.174;-2.741.571.061.174;0;0;0;-131.965.272.315.528;309.809.637.565.514;375.715.525.576.414;375.715.525.576.414;101.558.419.459.013
37;26/05/2020;380.118.703.265.095;171.757.523.686.924;171.757.523.686.924;171.757.523.686.924;171.757.523.686.924;171.757.523.686.924;171.757.523.686.924;0;0;0;338.097.140.147.602;780.997.437.561.834;380.118.703.265.095;380.118.703.265.095;551.876.226.952.019
38;27/05/2020;384.521.648.041.436;7.652.760.720.432;7.652.760.720.432;7.652.760.720.432;7.652.760.720.432;7.652.760.720.432;7.652.760.720.432;0;0;0;241.215.985.700.805;673.411.928.386.499;384.521.648.041.436;384.521.648.041.436;461.049.255.245.756
39;28/05/2020;388.924.592.817.776;118.531.878.450.367;118.531.878.450.367;118.531.878.450.367;118.531.878.450.367;118.531.878.450.367;118.531.878.450.367;0;0;0;294.009.785.207.854;720.914.614.529.017;388.924.592.817.776;388.924.592.817.776;507.456.471.268.143
40;29/05/2020;393.327.537.594.117;833.261.306.469.294;833.261.306.469.294;833.261.306.469.294;833.261.306.469.294;833.261.306.469.294;833.261.306.469.294;0;0;0;242.587.650.020.679;685.137.111.407.494;393.327.537.594.117;393.327.537.594.117;476.653.668.241.046
41;30/05/2020;397.730.423.719.781;429.198.828.315.271;429.198.828.315.271;429.198.828.315.271;429.198.828.315.271;429.198.828.315.271;429.198.828.315.271;0;0;0;220.179.887.301.494;675.754.423.285.078;397.730.423.719.781;397.730.423.719.781;440.650.306.551.308
42;31/05/2020;402.133.309.845.445;-21.890.591.670.232;-21.890.591.670.232;-21.890.591.670.232;-21.890.591.670.232;-21.890.591.670.232;-21.890.591.670.232;0;0;0;-303.139.792.589.629;400.133.053.998.861;402.133.309.845.445;402.133.309.845.445;183.227.393.143.125
